DEBKGID;NNID;NAME;RS;OBA;KFZ;GEOLA;GEOBR;GKRE;GKHO;UTMRE;UTMHO
DEBKGDL20000DZXQ;DEBKGGND00001D4F;Olpe;05966;AX_KreisRegion (Kreis);OE;075835;510510;3428353.7647159584;5661724.868708528;428307.97407321725;5659900.807698234
DEBKGDL20000E5HN;DEBKGGND00001FF5;Ortenaukreis;08317;AX_KreisRegion (Landkreis);OG  BH  KEL  LR  WOL;080058;482514;3427261.399398062;5365206.948114578;427214.97615436045;5363500.200666688
DEBKGDL20000E70E;DEBKGGND000019N1;Osnabrück;03459;AX_KreisRegion (Landkreis);OS  BSB  MEL  WTL;074932;523210;3420387.8319996996;5823195.905351673;420347.3387976788;5821308.018999224
DEBKGDL20000E70G;DEBKGGND00001B2L;Osnabrück;03404;AX_KreisRegion (Kreisfreie Stadt);OS;080231;521637;3434690.1461315546;5794147.490061457;434643.5365268239;5792270.9465299165
DEBKGDL20000E1I0;DEBKGGND00001IKE;Ostalbkreis;08136;AX_KreisRegion (Landkreis);AA  GD;100524;485239;3580036.7372785085;5416152.258072234;579929.3714182947;5414425.133974537
DEBKGDL20000E34F;DEBKGGND0000194A;Ostallgäu;09777;AX_KreisRegion (Landkreis);OAL  FÜS  MOD;103821;474622;3622929.748355118;5294018.034167863;622804.8741912047;5292339.955355139
DEBKGDL20000E09K;DEBKGGND00001A9W;Osterholz;03356;AX_KreisRegion (Landkreis);OHZ;084829;531504;3487264.539143056;5902131.21527032;487198.6088344649;5900210.976007946
DEBKGDL200000026;DEBKGGND00001H46;Ostholstein;01055;AX_KreisRegion (Kreis);OH;105704;541539;3627201.046593205;6016264.940811762;627081.4518584168;6014296.554410609
DEBKGDL20000E6H2;DEBKGGND00001DT1;Ostprignitz-Ruppin;12068;AX_KreisRegion (Landkreis);OPR  KY  NP  WK;123810;525928;3744194.605547078;5879390.657702645;744025.423842348;5877476.122750242
DEBKGDL20000E454;DEBKGGND00001FX2;Paderborn;05774;AX_KreisRegion (Kreis);PB  BÜR;084311;513951;3480677.491019624;5725559.7168409405;480611.5476113743;5723709.72827951
